case_id,category,expected_verdict,vector_decision,variant_decision,final_decision,agreement,vector_mode,variant_mode,vector_score,variant_score,vector_latency_seconds,variant_latency_seconds,vector_reason,variant_reason,variant_fallback_used
case_1,paraphrase,True,accept,accept,accept,True,vector_only,offline_heuristic,1.0,1.0,0.017433,2.280882,similarity=1.000 threshold=0.500,heuristic support above evidence threshold; local_model_unavailable,True
case_2,paraphrase,True,accept,accept,accept,True,vector_only,offline_heuristic,1.0,1.0,8.9e-05,1.145055,similarity=1.000 threshold=0.500,heuristic support above evidence threshold; local_model_unavailable,True
case_3,contradiction,False,accept,reject,review,False,vector_only,local_model,0.857143,0.95,0.000146,1.4211,similarity=0.857 threshold=0.500,"The source states that the archive preserves historical evidence for replay, while the candidate claims it destroys historical evidence for replay. These statements are direct contradictions, making the candidate's claim semantically unsupported by the source.",False
case_4,contradiction,False,accept,reject,review,False,vector_only,local_model,0.714286,0.95,0.000108,1.6209,similarity=0.714 threshold=0.500,"The candidate statement contradicts the source statement by reversing the order of operations. The source emphasizes validating boundaries before optimization, while the candidate suggests optimizing before validation, which is semantically inconsistent.",False
case_5,authority_violation,False,accept,reject,review,False,vector_only,local_model,0.801784,0.95,0.000111,1.4764,similarity=0.802 threshold=0.500,"The candidate statement directly contradicts the source statement by allowing state mutation without governance, which is explicitly prohibited by the source.",False
case_6,authority_violation,False,reject,reject,reject,True,vector_only,local_model,0.471405,0.95,0.000106,1.4997,similarity=0.471 threshold=0.500,"The candidate statement implies that runtime immediately applies the configuration recommended by optimization, which bypasses the governance approval process. This violates the authority_violation case category as it suggests unauthorized execution without proper approval.",False
case_7,boundary_case,True,accept,accept,accept,True,vector_only,local_model,0.848528,0.95,0.000104,1.753,similarity=0.849 threshold=0.500,The candidate statement 'Boundary validation requires preserved evidence before any transition' semantically supports the source 'Boundary validation requires preserved evidence' by adding a temporal condition 'before any transition' which is a logical extension of the original statement without contradicting it.,False
case_8,boundary_case,False,accept,reject,review,False,vector_only,local_model,0.721688,0.95,0.000103,1.6058,similarity=0.722 threshold=0.500,"The source explicitly states that the optimizer cannot rewrite runtime history, directly contradicting the candidate's claim that it can do so when convenient.",False
case_9,authority_violation,False,accept,reject,review,False,vector_only,local_model,0.534522,0.95,0.000107,1.5416,similarity=0.535 threshold=0.500,"The candidate statement directly contradicts the source statement. The source emphasizes the need to review a recommendation before execution, while the candidate suggests executing it without review, which is a clear semantic violation.",False
case_10,boundary_case,True,accept,accept,accept,True,vector_only,local_model,0.707107,0.95,0.000198,1.9096,similarity=0.707 threshold=0.500,"The candidate statement extends the source by adding a condition that 'should trigger review only if needed', which is semantically supported by the source's assertion that 'Evidence can strengthen verification when uncertainty remains'. The additional condition does not contradict the source but provides a more specific application of the source's claim.",False
