candidate_id,activation_threshold,recovery_min_evidence,replay_equivalent,state_transition_equivalence,authority_preserved,recovery_success,boundary_consistency_score,feasible,metrics,observations
candidate_a0p1_e1,0.1,1,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.1', 'recovery_min_evidence=1', 'activation_success=True', 'recovery_success=True', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p1_e2,0.1,2,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.1', 'recovery_min_evidence=2', 'activation_success=True', 'recovery_success=True', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p1_e3,0.1,3,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.1', 'recovery_min_evidence=3', 'activation_success=True', 'recovery_success=False', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p1_e4,0.1,4,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.1', 'recovery_min_evidence=4', 'activation_success=True', 'recovery_success=False', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p1_e5,0.1,5,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.1', 'recovery_min_evidence=5', 'activation_success=True', 'recovery_success=False', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p3_e1,0.3,1,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.3', 'recovery_min_evidence=1', 'activation_success=True', 'recovery_success=True', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p3_e2,0.3,2,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.3', 'recovery_min_evidence=2', 'activation_success=True', 'recovery_success=True', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p3_e3,0.3,3,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.3', 'recovery_min_evidence=3', 'activation_success=True', 'recovery_success=False', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p3_e4,0.3,4,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.3', 'recovery_min_evidence=4', 'activation_success=True', 'recovery_success=False', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p3_e5,0.3,5,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.4, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.3', 'recovery_min_evidence=5', 'activation_success=True', 'recovery_success=False', 'final_activation=0.4', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p5_e1,0.5,1,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.5, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.5', 'recovery_min_evidence=1', 'activation_success=True', 'recovery_success=True', 'final_activation=0.5', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p5_e2,0.5,2,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.5, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.5', 'recovery_min_evidence=2', 'activation_success=True', 'recovery_success=True', 'final_activation=0.5', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p5_e3,0.5,3,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.5, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.5', 'recovery_min_evidence=3', 'activation_success=True', 'recovery_success=False', 'final_activation=0.5', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p5_e4,0.5,4,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.5, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.5', 'recovery_min_evidence=4', 'activation_success=True', 'recovery_success=False', 'final_activation=0.5', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p5_e5,0.5,5,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.5, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.5', 'recovery_min_evidence=5', 'activation_success=True', 'recovery_success=False', 'final_activation=0.5', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p7_e1,0.7,1,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.7, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.7', 'recovery_min_evidence=1', 'activation_success=True', 'recovery_success=True', 'final_activation=0.7', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p7_e2,0.7,2,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.7, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.7', 'recovery_min_evidence=2', 'activation_success=True', 'recovery_success=True', 'final_activation=0.7', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p7_e3,0.7,3,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.7, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.7', 'recovery_min_evidence=3', 'activation_success=True', 'recovery_success=False', 'final_activation=0.7', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p7_e4,0.7,4,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.7, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.7', 'recovery_min_evidence=4', 'activation_success=True', 'recovery_success=False', 'final_activation=0.7', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p7_e5,0.7,5,True,True,True,False,1.0,False,"{'successful_transitions': 1, 'final_activation': 0.7, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': False, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.7', 'recovery_min_evidence=5', 'activation_success=True', 'recovery_success=False', 'final_activation=0.7', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
candidate_a0p9_e1,0.9,1,True,True,True,True,1.0,True,"{'successful_transitions': 2, 'final_activation': 0.9, 'runtime_event_count': 2, 'evidence_usage_count': 2, 'recovery_success': True, 'replay_equivalent': True, 'state_transition_equivalence': True, 'boundary_consistency_score': 1.0}","['activation_threshold=0.9', 'recovery_min_evidence=1', 'activation_success=True', 'recovery_success=True', 'final_activation=0.9', 'activation_boundary_preserved=True', 'recovery_boundary_preserved=True', 'replay_equivalent=True', 'boundary_consistency_score=1.0']"
