run_id,encoder_name,parser_name,mode,case_id,category,semantic_coverage,semantic_drift,fact_accuracy,relation_accuracy,recovery_accuracy,closure_accuracy,path_preservation,neighborhood_completeness,hallucinated_relation_rate,evidence_cost
e5-small-v2_rule_parser_relation_case_1_exact_vector_only,e5-small-v2,rule_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
e5-small-v2_rule_parser_relation_case_1_exact_relation_expansion,e5-small-v2,rule_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
e5-small-v2_rule_parser_relation_case_1_exact_relation_closure,e5-small-v2,rule_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
e5-small-v2_rule_parser_relation_case_2_fact_preserved_relation_missing_vector_only,e5-small-v2,rule_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
e5-small-v2_rule_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,e5-small-v2,rule_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
e5-small-v2_rule_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,e5-small-v2,rule_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
e5-small-v2_rule_parser_relation_case_3_multi_hop_vector_only,e5-small-v2,rule_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.5,0.0,1.3
e5-small-v2_rule_parser_relation_case_3_multi_hop_relation_expansion,e5-small-v2,rule_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.08,1.0,1.0,0.545455,1.0,1.0,1.0,0.4,1.56
e5-small-v2_rule_parser_relation_case_3_multi_hop_relation_closure,e5-small-v2,rule_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
e5-small-v2_rule_parser_relation_case_4_conflicting_neighbors_vector_only,e5-small-v2,rule_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.4,0.0,1.5
