backend,model,cycles,method_bundle,method,mean_drift,mean_task_success,mean_query_success,mean_tokens,mean_latency_seconds,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_query_prompt_tokens,mean_query_completion_tokens,mean_query_total_tokens,mean_judge_prompt_tokens,mean_judge_completion_tokens,mean_judge_total_tokens,commit_rate,mean_validation_drift,rollback_count,run_dir
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",rag,0.1219,0.8958,0.9,33.67,0.3243,98.67,36.67,135.33,101.78,45.89,147.67,136.33,66.33,202.67,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",raw_prompt,0.3407,0.8958,0.9111,91.44,0.2539,186.56,20.67,207.22,179.78,22.44,202.22,214.33,86.56,300.89,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",srp,0.054,0.8958,0.7667,19.33,0.7822,633.78,86.11,719.89,97.44,44.22,141.67,132,70,202,0.6667,0.1789,3,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,3,"raw_prompt,summarization,rag,srp",summarization,0.5265,0.6877,0.8,25.67,0.2828,67.44,30.33,97.78,95.44,52.22,147.67,130,73.44,203.44,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c3__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"rag,srp",rag,0.1219,0.8958,0.9,33.67,0.3506,130.33,36.67,167,101.73,45,146.73,136.33,66.27,202.6,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p1_rag_vs_srp__local__qwen_qwen3-4b-awq__c5__rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"rag,srp",srp,0.054,0.8958,0.76,19.33,0.7961,637.07,86.2,723.27,97.4,43.87,141.27,132,70,202,0.6667,0.1717,5,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p1_rag_vs_srp__local__qwen_qwen3-4b-awq__c5__rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",rag,0.1219,0.8958,0.9,33.67,0.331,130.33,36.67,167,101.73,45,146.73,136.33,66.33,202.67,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",raw_prompt,0.3541,0.8958,0.9067,150.27,0.239,260.33,20,280.33,252.87,21.67,274.53,287.47,96.07,383.53,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",srp,0.054,0.8958,0.76,19.33,0.7746,637.07,86.2,723.27,97.4,42.87,140.27,132,70,202,0.6667,0.1717,5,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"raw_prompt,summarization,rag,srp",summarization,0.5558,0.6858,0.84,25.27,0.2697,66.6,29.8,96.4,94.87,54.4,149.27,129.47,72.4,201.87,,,,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p0_core_four_methods__local__qwen_qwen3-4b-awq__c5__raw_prompt-summarization-rag-srp
local,Qwen/Qwen3-4B-AWQ,5,"summarization,srp",srp,0.054,0.8958,0.76,19.33,0.7857,637.07,86.2,723.27,97.4,43.87,141.27,132,70,202,0.6667,0.1717,5,C:\Users\ZhiyangHuang\Semantic-Runtime-Protocol\srp_experiment\results\batch_runs\first_paper_formal_local\formal_p1_srp_vs_summarization__local__qwen_qwen3-4b-awq__c5__summarization-srp
