attack,case,policy,result,variant
invalid_transition,"{""state_before"": {""case_id"": ""low_evidence_low_authority"", ""content"": ""semantic_state::low_evidence_low_authority"", ""authority_level"": ""low"", ""version"": 0, ""evidence_level"": ""low""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::low_evidence_low_authority::committed"", ""version"": 1, ""transition_marker"": ""low_evidence_low_authority""}, ""requested_authority"": ""admin"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""low"", ""invariant_violation"": true}, ""evidence"": {""level"": ""low"", ""confidence"": 0.15, ""evidence_ok"": false}, ""governance_policy"": {""case_id"": ""low_evidence_low_authority"", ""scenario"": ""evidence insufficient and authority unavailable"", ""failure_modes"": [""evidence_insufficient"", ""authority_violation""], ""notes"": [""This is the most restrictive boundary case.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""low_evidence_low_authority"", ""evidence_ok"": false, ""authority_ok"": false, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""full_srp"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": true, ""evidence_controls_authority"": false, ""require_authority"": true, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": false, ""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""verification_score"": 0.075, ""decision_reason"": ""transition rejected (reject)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.15, ""evidence_passed"": false, ""authority_passed"": false, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""metadata"": {""policy_name"": ""full_srp"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""low_evidence_low_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.15, ""passed"": false, ""evidence_enabled"": true}, ""governance"": {""decision"": ""reject"", ""accepted"": false, ""authority_passed"": false, ""governance_enabled"": true, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0006, ""evidence_ms"": 0.0014, ""governance_ms"": 0.0003, ""commit_ms"": 0.003, ""total_ms"": 0.007}, ""metadata"": {""policy_name"": ""full_srp"", ""expected_decision"": false, ""decision_reason"": ""transition rejected""}}}",full_srp
invalid_transition,"{""state_before"": {""case_id"": ""high_evidence_low_authority"", ""content"": ""semantic_state::high_evidence_low_authority"", ""authority_level"": ""low"", ""version"": 0, ""evidence_level"": ""high""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::high_evidence_low_authority::committed"", ""version"": 1, ""transition_marker"": ""high_evidence_low_authority""}, ""requested_authority"": ""admin"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""high"", ""invariant_violation"": true}, ""evidence"": {""level"": ""high"", ""confidence"": 0.95, ""evidence_ok"": true}, ""governance_policy"": {""case_id"": ""high_evidence_low_authority"", ""scenario"": ""evidence rich but unauthorized"", ""failure_modes"": [""authority_violation""], ""notes"": [""Strong evidence does not override missing authority.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""high_evidence_low_authority"", ""evidence_ok"": true, ""authority_ok"": false, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""full_srp"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": true, ""evidence_controls_authority"": false, ""require_authority"": true, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": false, ""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""verification_score"": 0.475, ""decision_reason"": ""transition rejected (reject)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.95, ""evidence_passed"": true, ""authority_passed"": false, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""metadata"": {""policy_name"": ""full_srp"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""high_evidence_low_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.95, ""passed"": true, ""evidence_enabled"": true}, ""governance"": {""decision"": ""reject"", ""accepted"": false, ""authority_passed"": false, ""governance_enabled"": true, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0003, ""evidence_ms"": 0.0008, ""governance_ms"": 0.0002, ""commit_ms"": 0.002, ""total_ms"": 0.0045}, ""metadata"": {""policy_name"": ""full_srp"", ""expected_decision"": false, ""decision_reason"": ""transition rejected""}}}",full_srp
invalid_transition,"{""state_before"": {""case_id"": ""low_evidence_high_authority"", ""content"": ""semantic_state::low_evidence_high_authority"", ""authority_level"": ""high"", ""version"": 0, ""evidence_level"": ""low""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::low_evidence_high_authority::committed"", ""version"": 1, ""transition_marker"": ""low_evidence_high_authority""}, ""requested_authority"": ""high"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""low"", ""invariant_violation"": true}, ""evidence"": {""level"": ""low"", ""confidence"": 0.15, ""evidence_ok"": false}, ""governance_policy"": {""case_id"": ""low_evidence_high_authority"", ""scenario"": ""authorized but evidence insufficient"", ""failure_modes"": [""evidence_insufficient""], ""notes"": [""Authority alone does not admit a transition.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""low_evidence_high_authority"", ""evidence_ok"": false, ""authority_ok"": true, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""full_srp"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": true, ""evidence_controls_authority"": false, ""require_authority"": true, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": false, ""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""verification_score"": 0.075, ""decision_reason"": ""transition rejected (reject)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.15, ""evidence_passed"": false, ""authority_passed"": false, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""metadata"": {""policy_name"": ""full_srp"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""low_evidence_high_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.15, ""passed"": false, ""evidence_enabled"": true}, ""governance"": {""decision"": ""reject"", ""accepted"": false, ""authority_passed"": false, ""governance_enabled"": true, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0002, ""evidence_ms"": 0.0006, ""governance_ms"": 0.0002, ""commit_ms"": 0.0015, ""total_ms"": 0.0037}, ""metadata"": {""policy_name"": ""full_srp"", ""expected_decision"": false, ""decision_reason"": ""transition rejected""}}}",full_srp
invalid_transition,"{""state_before"": {""case_id"": ""high_evidence_high_authority"", ""content"": ""semantic_state::high_evidence_high_authority"", ""authority_level"": ""high"", ""version"": 0, ""evidence_level"": ""high""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::high_evidence_high_authority::committed"", ""version"": 1, ""transition_marker"": ""high_evidence_high_authority""}, ""requested_authority"": ""high"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""high"", ""invariant_violation"": true}, ""evidence"": {""level"": ""high"", ""confidence"": 0.95, ""evidence_ok"": true}, ""governance_policy"": {""case_id"": ""high_evidence_high_authority"", ""scenario"": ""fully admissible semantic transition"", ""failure_modes"": [], ""notes"": [""This is the only admissible case in the 2x2 grid.""]}, ""expected_decision"": true, ""metadata"": {""source_case_id"": ""high_evidence_high_authority"", ""evidence_ok"": true, ""authority_ok"": true, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""full_srp"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": true, ""evidence_controls_authority"": false, ""require_authority"": true, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": false, ""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""verification_score"": 0.475, ""decision_reason"": ""transition rejected (reject)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.95, ""evidence_passed"": true, ""authority_passed"": false, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""metadata"": {""policy_name"": ""full_srp"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": true}, ""trace"": {""transition_id"": ""high_evidence_high_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.95, ""passed"": true, ""evidence_enabled"": true}, ""governance"": {""decision"": ""reject"", ""accepted"": false, ""authority_passed"": false, ""governance_enabled"": true, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0001, ""evidence_ms"": 0.0006, ""governance_ms"": 0.0001, ""commit_ms"": 0.0016, ""total_ms"": 0.0034}, ""metadata"": {""policy_name"": ""full_srp"", ""expected_decision"": true, ""decision_reason"": ""transition rejected""}}}",full_srp
invalid_transition,"{""state_before"": {""case_id"": ""optimization_override"", ""content"": ""semantic_state::optimization_override"", ""authority_level"": ""high"", ""version"": 0, ""evidence_level"": ""high""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::optimization_override::committed"", ""version"": 1, ""transition_marker"": ""optimization_override""}, ""requested_authority"": ""high"", ""optimization_pressure"": ""compression_override"", ""violates_invariant"": true, ""requested_evidence"": ""high"", ""invariant_violation"": true}, ""evidence"": {""level"": ""high"", ""confidence"": 0.95, ""evidence_ok"": true}, ""governance_policy"": {""case_id"": ""optimization_override"", ""scenario"": ""optimization pressure would remove provenance"", ""failure_modes"": [""optimization_induced_invalid_transition""], ""notes"": [""Optimization is downstream of admissibility, not its source.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""optimization_override"", ""evidence_ok"": true, ""authority_ok"": true, ""optimization_ok"": false, ""attack"": ""invalid_transition""}}","{""name"": ""full_srp"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": true, ""evidence_controls_authority"": false, ""require_authority"": true, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": false, ""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""verification_score"": 0.475, ""decision_reason"": ""transition rejected (reject)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.95, ""evidence_passed"": true, ""authority_passed"": false, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""metadata"": {""policy_name"": ""full_srp"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""optimization_override"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.95, ""passed"": true, ""evidence_enabled"": true}, ""governance"": {""decision"": ""reject"", ""accepted"": false, ""authority_passed"": false, ""governance_enabled"": true, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": false, ""authority_changed"": false, ""rollback_valid"": true, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0002, ""evidence_ms"": 0.0006, ""governance_ms"": 0.0001, ""commit_ms"": 0.0014, ""total_ms"": 0.0033}, ""metadata"": {""policy_name"": ""full_srp"", ""expected_decision"": false, ""decision_reason"": ""transition rejected""}}}",full_srp
invalid_transition,"{""state_before"": {""case_id"": ""low_evidence_low_authority"", ""content"": ""semantic_state::low_evidence_low_authority"", ""authority_level"": ""low"", ""version"": 0, ""evidence_level"": ""low""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::low_evidence_low_authority::committed"", ""version"": 1, ""transition_marker"": ""low_evidence_low_authority""}, ""requested_authority"": ""admin"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""low"", ""invariant_violation"": true}, ""evidence"": {""level"": ""low"", ""confidence"": 0.15, ""evidence_ok"": false}, ""governance_policy"": {""case_id"": ""low_evidence_low_authority"", ""scenario"": ""evidence insufficient and authority unavailable"", ""failure_modes"": [""evidence_insufficient"", ""authority_violation""], ""notes"": [""This is the most restrictive boundary case.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""low_evidence_low_authority"", ""evidence_ok"": false, ""authority_ok"": false, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""no_governance"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": false, ""evidence_controls_authority"": false, ""require_authority"": false, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": true, ""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""verification_score"": 0.075, ""decision_reason"": ""governance bypassed by policy (approve)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.15, ""evidence_passed"": false, ""authority_passed"": true, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""metadata"": {""policy_name"": ""no_governance"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""low_evidence_low_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.15, ""passed"": false, ""evidence_enabled"": true}, ""governance"": {""decision"": ""approve"", ""accepted"": true, ""authority_passed"": true, ""governance_enabled"": false, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0001, ""evidence_ms"": 0.0005, ""governance_ms"": 0.0002, ""commit_ms"": 0.0032, ""total_ms"": 0.0052}, ""metadata"": {""policy_name"": ""no_governance"", ""expected_decision"": false, ""decision_reason"": ""governance bypassed by policy""}}}",no_governance
invalid_transition,"{""state_before"": {""case_id"": ""high_evidence_low_authority"", ""content"": ""semantic_state::high_evidence_low_authority"", ""authority_level"": ""low"", ""version"": 0, ""evidence_level"": ""high""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::high_evidence_low_authority::committed"", ""version"": 1, ""transition_marker"": ""high_evidence_low_authority""}, ""requested_authority"": ""admin"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""high"", ""invariant_violation"": true}, ""evidence"": {""level"": ""high"", ""confidence"": 0.95, ""evidence_ok"": true}, ""governance_policy"": {""case_id"": ""high_evidence_low_authority"", ""scenario"": ""evidence rich but unauthorized"", ""failure_modes"": [""authority_violation""], ""notes"": [""Strong evidence does not override missing authority.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""high_evidence_low_authority"", ""evidence_ok"": true, ""authority_ok"": false, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""no_governance"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": false, ""evidence_controls_authority"": false, ""require_authority"": false, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": true, ""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""verification_score"": 0.475, ""decision_reason"": ""governance bypassed by policy (approve)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.95, ""evidence_passed"": true, ""authority_passed"": true, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""metadata"": {""policy_name"": ""no_governance"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""high_evidence_low_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.95, ""passed"": true, ""evidence_enabled"": true}, ""governance"": {""decision"": ""approve"", ""accepted"": true, ""authority_passed"": true, ""governance_enabled"": false, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""state_before_authority"": ""low"", ""state_after_authority"": ""low""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0001, ""evidence_ms"": 0.0006, ""governance_ms"": 0.0003, ""commit_ms"": 0.0026, ""total_ms"": 0.0047}, ""metadata"": {""policy_name"": ""no_governance"", ""expected_decision"": false, ""decision_reason"": ""governance bypassed by policy""}}}",no_governance
invalid_transition,"{""state_before"": {""case_id"": ""low_evidence_high_authority"", ""content"": ""semantic_state::low_evidence_high_authority"", ""authority_level"": ""high"", ""version"": 0, ""evidence_level"": ""low""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::low_evidence_high_authority::committed"", ""version"": 1, ""transition_marker"": ""low_evidence_high_authority""}, ""requested_authority"": ""high"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""low"", ""invariant_violation"": true}, ""evidence"": {""level"": ""low"", ""confidence"": 0.15, ""evidence_ok"": false}, ""governance_policy"": {""case_id"": ""low_evidence_high_authority"", ""scenario"": ""authorized but evidence insufficient"", ""failure_modes"": [""evidence_insufficient""], ""notes"": [""Authority alone does not admit a transition.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""low_evidence_high_authority"", ""evidence_ok"": false, ""authority_ok"": true, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""no_governance"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": false, ""evidence_controls_authority"": false, ""require_authority"": false, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": true, ""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""verification_score"": 0.075, ""decision_reason"": ""governance bypassed by policy (approve)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.15, ""evidence_passed"": false, ""authority_passed"": true, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""metadata"": {""policy_name"": ""no_governance"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""low_evidence_high_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.15, ""passed"": false, ""evidence_enabled"": true}, ""governance"": {""decision"": ""approve"", ""accepted"": true, ""authority_passed"": true, ""governance_enabled"": false, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0001, ""evidence_ms"": 0.0006, ""governance_ms"": 0.0001, ""commit_ms"": 0.0038, ""total_ms"": 0.0058}, ""metadata"": {""policy_name"": ""no_governance"", ""expected_decision"": false, ""decision_reason"": ""governance bypassed by policy""}}}",no_governance
invalid_transition,"{""state_before"": {""case_id"": ""high_evidence_high_authority"", ""content"": ""semantic_state::high_evidence_high_authority"", ""authority_level"": ""high"", ""version"": 0, ""evidence_level"": ""high""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::high_evidence_high_authority::committed"", ""version"": 1, ""transition_marker"": ""high_evidence_high_authority""}, ""requested_authority"": ""high"", ""optimization_pressure"": ""compatible"", ""violates_invariant"": true, ""requested_evidence"": ""high"", ""invariant_violation"": true}, ""evidence"": {""level"": ""high"", ""confidence"": 0.95, ""evidence_ok"": true}, ""governance_policy"": {""case_id"": ""high_evidence_high_authority"", ""scenario"": ""fully admissible semantic transition"", ""failure_modes"": [], ""notes"": [""This is the only admissible case in the 2x2 grid.""]}, ""expected_decision"": true, ""metadata"": {""source_case_id"": ""high_evidence_high_authority"", ""evidence_ok"": true, ""authority_ok"": true, ""optimization_ok"": true, ""attack"": ""invalid_transition""}}","{""name"": ""no_governance"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": false, ""evidence_controls_authority"": false, ""require_authority"": false, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": true, ""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""verification_score"": 0.475, ""decision_reason"": ""governance bypassed by policy (approve)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.95, ""evidence_passed"": true, ""authority_passed"": true, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""metadata"": {""policy_name"": ""no_governance"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": true}, ""trace"": {""transition_id"": ""high_evidence_high_authority"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.95, ""passed"": true, ""evidence_enabled"": true}, ""governance"": {""decision"": ""approve"", ""accepted"": true, ""authority_passed"": true, ""governance_enabled"": false, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0002, ""evidence_ms"": 0.0006, ""governance_ms"": 0.0001, ""commit_ms"": 0.0024, ""total_ms"": 0.0043}, ""metadata"": {""policy_name"": ""no_governance"", ""expected_decision"": true, ""decision_reason"": ""governance bypassed by policy""}}}",no_governance
invalid_transition,"{""state_before"": {""case_id"": ""optimization_override"", ""content"": ""semantic_state::optimization_override"", ""authority_level"": ""high"", ""version"": 0, ""evidence_level"": ""high""}, ""delta"": {""state_patch"": {""content"": ""semantic_state::optimization_override::committed"", ""version"": 1, ""transition_marker"": ""optimization_override""}, ""requested_authority"": ""high"", ""optimization_pressure"": ""compression_override"", ""violates_invariant"": true, ""requested_evidence"": ""high"", ""invariant_violation"": true}, ""evidence"": {""level"": ""high"", ""confidence"": 0.95, ""evidence_ok"": true}, ""governance_policy"": {""case_id"": ""optimization_override"", ""scenario"": ""optimization pressure would remove provenance"", ""failure_modes"": [""optimization_induced_invalid_transition""], ""notes"": [""Optimization is downstream of admissibility, not its source.""]}, ""expected_decision"": false, ""metadata"": {""source_case_id"": ""optimization_override"", ""evidence_ok"": true, ""authority_ok"": true, ""optimization_ok"": false, ""attack"": ""invalid_transition""}}","{""name"": ""no_governance"", ""enable_validation"": true, ""enable_evidence"": true, ""enable_governance"": false, ""evidence_controls_authority"": false, ""require_authority"": false, ""evidence_threshold"": 0.5, ""invariant"": {""name"": ""default_transition_invariant"", ""description"": ""Rejects transitions that explicitly flag an invariant violation.""}, ""metadata"": {}}","{""accepted"": true, ""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""verification_score"": 0.475, ""decision_reason"": ""governance bypassed by policy (approve)"", ""metrics"": {""validation_passed"": false, ""evidence_score"": 0.95, ""evidence_passed"": true, ""authority_passed"": true, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""metadata"": {""policy_name"": ""no_governance"", ""invariant_name"": ""default_transition_invariant"", ""expected_decision"": false}, ""trace"": {""transition_id"": ""optimization_override"", ""validation"": {""passed"": false, ""invariant_name"": ""default_transition_invariant"", ""validation_enabled"": true}, ""evidence"": {""score"": 0.95, ""passed"": true, ""evidence_enabled"": true}, ""governance"": {""decision"": ""approve"", ""accepted"": true, ""authority_passed"": true, ""governance_enabled"": false, ""evidence_controls_authority"": false}, ""execution"": {""state_changed"": true, ""authority_changed"": false, ""rollback_valid"": false, ""state_before_authority"": ""high"", ""state_after_authority"": ""high""}, ""timing"": {""proposal_ms"": 0.0, ""validation_ms"": 0.0001, ""evidence_ms"": 0.0005, ""governance_ms"": 0.0001, ""commit_ms"": 0.0023, ""total_ms"": 0.004}, ""metadata"": {""policy_name"": ""no_governance"", ""expected_decision"": false, ""decision_reason"": ""governance bypassed by policy""}}}",no_governance
